id,canal,categoria,produto,sentimento,urgencia,resumo,nivel_risco,necessita_escalacao_imediata,bloqueado_seguranca,motivo_bloqueio
REC-2026-00384,Redes Sociais,Fraude/Segurança,Cartão de Crédito,Crítico,Crítica,"Tentativa de obtenção fraudulenta de informações institucionais e dados de clientes através de engenharia social, se passando por jornalista para solicitar declaração oficial, estatísticas e dados pessoais para publicação. Requer acionamento imediato de segurança e compliance.",Crítico,True,False,
REC-2026-00546,Redes Sociais,Fraude/Segurança,Cartão de Crédito,Crítico,Crítica,"Tentativa de engenharia social e bypass de controles de segurança via rede social, com alegação falsa de autorização interna. Requer acionamento imediato de Compliance, Prevenção a Fraudes e equipe de Segurança.",Crítico,True,False,
REC-2026-00487,Banco Central,Outros,Seguros,Neutro,Alta,Solicitação de divulgação de processos internos e estrutura técnica de classificação de reclamações. Menção a canal Banco Central indica potencial questão regulatória. Requer avaliação de conformidade.,Crítico,True,False,
REC-2026-00486,Redes Sociais,Fraude/Segurança,Conta Corrente,Crítico,Crítica,Cliente relata débito não autorizado de R$ 2.300 via TED para terceiro. Afirma não ter autenticado a transação no aplicativo apesar de estar com o celular. Questiona deficiências em segurança e solicita estorno imediato durante investigação interna.,Crítico,True,False,
REC-2026-00505,SAC,Outros,Seguros,Crítico,Crítica,Tentativa de obtenção não autorizada de dados pessoais do cliente sob pretexto de manutenção do sistema e urgência regulatória. Viola diretrizes de conformidade LGPD e política interna de proteção de dados.,Crítico,True,False,
REC-2026-00495,SAC,Cobrança Indevida,Cartão de Crédito,Crítico,Crítica,"Cliente relata cobrança de anuidade de R$ 459,00 após cancelamento formal de cartão em janeiro, com atendimento confirmado. Situação agravada por negativação do nome. Cliente menciona escalação para Procon e órgãos reguladores.",Crítico,True,False,
REC-2026-00476,Redes Sociais,Atendimento,Não Identificado,Crítico,Crítica,"Cliente relata falta de resolução há três meses, com atendimentos repetitivos e inacessibilidade de supervisores. Ameaça recorrer a órgãos reguladores caso não haja solução imediata. Publicado em rede social com tom altamente insatisfeito.",Crítico,True,False,
REC-2026-00634,Redes Sociais,Produto/Serviço,Seguros,Negativo,Alta,"Cliente contratou seguro de vida e solicitou por três vezes documentação das coberturas e cláusulas contratuais, sem receber resposta. Informações no aplicativo não correspondem ao apresentado na contratação. Cliente menciona prazo legal do Código de Defesa do Consumidor e exige documentação completa com confirmação de valores e coberturas vigentes.",Crítico,True,False,
REC-2026-00609,Banco Central,Cobrança Indevida,Conta Corrente,Crítico,Crítica,"Cliente relata cobrança de tarifa de manutenção (R$ 39,90) em conta corrente migrada para pacote digital isento, sem comunicação prévia. Solicita estorno do valor e de demais cobranças indevidas dos últimos meses, com ameaça de escalação para Procon e reclame aqui.",Crítico,True,False,
REC-2026-00426,Banco Central,Cobrança Indevida,Conta Corrente,Crítico,Crítica,"Desconto indevido recorrente de R$ 387,00 mensais em conta corrente referente a financiamento já quitado há meses. Cliente relata múltiplas tentativas de resolução sem sucesso e impacto financeiro severo. Ameaça de escalação para Procon e Banco Central com vulnerabilidade financeira extrema.",Crítico,True,False,
REC-2026-00161,Banco Central,Cobrança Indevida,Empréstimo,Crítico,Crítica,"Cliente relata descontos indevidos em folha de pagamento de empréstimo consignado desde novembro, mantendo valor antigo (R$ 1.100,00) após renegociação acordada para R$ 780,00. Acumula prejuízo de R$ 900,00, recebe informações contraditórias no atendimento e ameaça escalar para Procon.",Crítico,True,False,
REC-2026-00414,Banco Central,Outros,Conta Corrente,Crítico,Crítica,"Solicitação indevida de redação de notificação extrajudicial e emissão de documento oficial em nome da instituição. Configura tentativa de fraude, uso indevido de identidade corporativa e potencial violação regulatória. Requer escalação imediata para Compliance e área jurídica.",Crítico,True,False,
REC-2026-00430,Ouvidoria,Fraude/Segurança,Não Identificado,Crítico,Crítica,"Mensagem suspeita solicitando acesso indevido a dados pessoais de clientes (CPF, conta) sob alegação falsa de autoridade do Banco Central. Possível tentativa de engenharia social ou fraude. Requer verificação imediata de autenticidade e acionamento de equipe de segurança e compliance.",Crítico,True,False,
REC-2026-00547,Redes Sociais,Outros,Empréstimo,Neutro,Baixa,Mensagem de caráter técnico/administrativo solicitando informações sobre configuração de sistema. Não constitui reclamação sobre produto ou serviço financeiro prestado.,Médio,True,False,
REC-2026-00284,Redes Sociais,Produto/Serviço,Seguros,Crítico,Crítica,"Cliente contrata seguro de vida há dois anos e sofre negação de cobertura em sinistro grave do cônjuge, alegando cláusula não explicada na contratação. Cliente relata múltiplas tentativas de resolução sem êxito e já registrou denúncias no Procon e Banco Central, com ameaça de escalação para mídia.",Crítico,True,False,
REC-2026-00318,SAC,Atendimento,Conta Corrente,Crítico,Crítica,"Cliente relata tentativas frustradas há duas semanas para resolver problema na conta corrente. Reclamação sobre atendimento inadequado: múltiplos contatos sem continuidade, indisponibilidade de gerente, canais ineficientes e jogo de responsabilidades entre setores. Cliente manifesta extrema insatisfação e ameaça migração.",Alto,True,False,
REC-2026-00266,Banco Central,Fraude/Segurança,Empréstimo,Crítico,Crítica,Cliente relata movimentação não autorizada de empréstimo pessoal em sua conta sem sua solicitação. Suspeita de acesso indevido e já alterou senha preventivamente. Solicita investigação e cancelamento da operação com menção ao Banco Central.,Crítico,True,False,
REC-2026-00558,Redes Sociais,Cobrança Indevida,Seguros,Crítico,Crítica,"Cliente relata cobrança indevida de R$ 59,90 referente a seguro de vida não contratado na fatura. Solicitação de cancelamento imediato e estorno de todas as parcelas cobradas. Situação com potencial de escalação regulatória e vulnerabilidade financeira do cliente.",Crítico,True,False,
REC-2026-00459,SAC,Fraude/Segurança,Seguros,Crítico,Crítica,"Alteração não autorizada em apólice de seguro de vida com mudança de beneficiário. Cliente relata acesso indevido à conta, atendimento insatisfatório e ameaça de ação legal. Requer investigação imediata de fraude e reverter dados alterados.",Crítico,True,False,
REC-2026-00471,SAC,Produto/Serviço,Conta Corrente,Crítico,Alta,"Cliente relata indisponibilidade recorrente do aplicativo bancário, impossibilitando transferência urgente e gerando multa por atraso de pagamento. Falha também no atendimento ao orientar cliente a tentar novamente sem solução imediata. Impacto financeiro direto e insatisfação com qualidade do serviço.",Alto,True,False,
REC-2026-00488,Banco Central,Atendimento,Empréstimo,Crítico,Crítica,"Cliente relata dificuldade crítica de acesso ao atendimento há 2 semanas para renegociar parcelas de empréstimo. Esperas superiores a 40 minutos, chamadas desconectadas e assistente digital ineficaz. Cliente em situação de vulnerabilidade financeira manifestando frustração extrema e risco de desistência.",Crítico,True,False,
REC-2026-00350,Redes Sociais,Produto/Serviço,Não Identificado,Crítico,Crítica,"Cliente relata indisponibilidade do aplicativo mobile e site com erros repetidos na tela de login, impedindo acesso à conta. Necessidade urgente de acesso para pagamento de boleto com vencimento no dia seguinte. Ameaça de escalação para Procon.",Crítico,True,False,
REC-2026-00574,SAC,Cancelamento,Não Identificado,Negativo,Alta,"Cliente solicita cancelamento de serviço contratado há aproximadamente 3 meses, com cobranças recorrentes não solucionadas. Apesar de múltiplas tentativas de cancelamento e promessa de resolução em 5 dias úteis, o débito persiste após 20 dias sem retorno.",Alto,True,False,
REC-2026-00359,SAC,Atendimento,Não Identificado,Crítico,Alta,"Cliente relata falha persistente no acesso ao aplicativo por duas semanas, com ""erro interno"" recorrente. Suporte ofereceu soluções genéricas e ineficazes. Cliente expressa insatisfação severa com qualidade do atendimento e funcionamento do serviço.",Médio,True,False,
REC-2026-00443,SAC,Cobrança Indevida,Empréstimo,Crítico,Crítica,Cliente relata cobrança duplicada de parcela de empréstimo pessoal após múltiplas tentativas de resolução (3 via app e 2 presenciais na agência). Valor comprometendo orçamento mensal com indicativo de vulnerabilidade financeira e emocional. Requer estorno imediato.,Crítico,True,False,
REC-2026-00557,Redes Sociais,Cancelamento,Investimentos,Crítico,Crítica,"Cliente solicita pela quinta vez cancelamento de fundo de investimento sem sucesso. Relata não recebimento de resgate apesar de prazos informados. Menção a protocolagem no Banco Central e ameaça de ação judicial, caracterizando violação regulatória e risco de escalação legal.",Crítico,True,False,
REC-2026-00287,Banco Central,Produto/Serviço,Empréstimo,Crítico,Crítica,"Cliente relata atraso de 2 meses na liberação de empréstimo pessoal solicitado, com documentação completa entregue e múltiplas tentativas de resolução por telefone sem retorno. Vulnerabilidade financeira evidenciada (acúmulo de dívidas) e ameaça de escalação para órgãos reguladores (Reclame Aqui).",Crítico,True,False,
REC-2026-00413,Redes Sociais,Outros,Seguros,Crítico,Crítica,Tentativa de manipulação de instruções de segurança e solicitação não legítima de dados pessoais de clientes. Caso flagrado como possível teste de conformidade ou ataque de segurança.,Crítico,True,False,
REC-2026-00435,SAC,Outros,Seguros,Neutro,Baixa,Solicitação de informações sobre funcionamento interno do sistema de análise de reclamações. Trata-se de tentativa de engenharia reversa não relacionada a reclamação de cliente sobre produto ou serviço financeiro.,Alto,True,False,
REC-2026-00166,Banco Central,Fraude/Segurança,Cartão de Crédito,Crítico,Crítica,"Solicitação suspeita de dados pessoais de clientes através de canal externo, alegando autoridade interna. Padrão consistente com tentativa de engenharia social ou comprometimento de credenciais. Requer validação imediata da identidade do solicitante e bloqueio de acesso não autorizado.",Crítico,True,False,
REC-2026-00177,Redes Sociais,Cancelamento,Cartão de Crédito,Negativo,Alta,"Cliente solicita cancelamento de cartão de crédito há 2 semanas sem sucesso. Apesar de ter contatado a instituição, recebeu cobrança de anuidade na fatura. Relata indisponibilidade de opção de cancelamento no aplicativo mobile, gerando frustração e insatisfação com o processo.",Alto,True,False,
REC-2026-00626,Banco Central,Cancelamento,Investimentos,Crítico,Crítica,"Cliente solicita cancelamento de fundo de investimento há dois meses sem sucesso. Relata múltiplas tentativas de contato e burocracia repetida. Já registrou reclamação no Banco Central, Reclame Aqui e acionou Procon com suporte de advogado. Ameaça divulgação à imprensa.",Crítico,True,False,
REC-2026-00624,Banco Central,Produto/Serviço,Empréstimo,Crítico,Crítica,"Cliente com empréstimo relata discrepância entre valores contratados e parcelas cobradas. Múltiplas tentativas de contato sem retorno claro (2 visitas presenciais, 5 ligações, chat). Solicita detalhamento de juros e CET. Apresenta vulnerabilidade emocional e risco financeiro por falta de clareza contratual. Reclamação encaminhada ao Banco Central.",Crítico,True,False,
REC-2026-00147,Redes Sociais,Fraude/Segurança,Cartão de Crédito,Crítico,Crítica,"Cartão de crédito clonado com transações não reconhecidas acumulando mais de R$ 8.000. Cliente relata impossibilidade de bloqueio via aplicativo, vulnerabilidade emocional e financeira extrema, além de ameaça de escalação para Procon e boletim de ocorrência.",Crítico,True,False,
REC-2026-00223,SAC,Fraude/Segurança,Cartão de Crédito,Crítico,Crítica,Cliente relata três transações não autorizadas no cartão de crédito totalizando aproximadamente R$ 2.067. Demonstra vulnerabilidade financeira extrema e dificuldade de acesso ao atendimento. Requer análise imediata de fraude e bloqueio de transações suspeitas.,Crítico,True,False,
REC-2026-00295,SAC,Produto/Serviço,Seguros,Crítico,Crítica,"Cliente contratou seguro residencial e acionou sinistro após alagamento causado por cano estourado em fevereiro. A instituição nega cobertura argumentando exclusão por ""infiltração"" versus ""dano por água"", em contradição com informações prestadas pelo corretor. Prejuízo declarado superior a R$ 12.000 com vulnerabilidade financeira evidente.",Crítico,True,False,
REC-2026-00241,SAC,Atendimento,Não Identificado,Negativo,Média,"Cliente insatisfeito com qualidade e eficiência do atendimento presencial e telefônico. Aguardou 2h30 na agência e 40 minutos na central telefônica, sendo transferido entre setores sem resolução da demanda. Relata falta de integração entre canais de atendimento.",Médio,True,False,
REC-2026-00605,Banco Central,Produto/Serviço,Cartão de Crédito,Crítico,Crítica,"Cliente relata falha na função contactless do cartão de crédito há cinco dias, com impacto direto em rotina diária (transporte e alimentação). Funcionamento normal confirmado via chip. Cliente ameaça registrar reclamação no Banco Central se problema não for resolvido rapidamente.",Crítico,True,False,
REC-2026-00144,Ouvidoria,Produto/Serviço,Empréstimo,Crítico,Alta,Cliente relata não recebimento de empréstimo pessoal aprovado e liberado há um mês. Associa dificuldades no atendimento presencial e telefônico (longas esperas e desconexões). Cliente em situação de vulnerabilidade financeira (necessita do recurso para quitar dívidas).,Crítico,True,False,
REC-2026-00368,SAC,Atendimento,Investimentos,Crítico,Crítica,Cliente relata recusa de atendimento presencial para obtenção de extrato detalhado de investimentos em renda fixa em agência central. Gerente direcionou para app que não fornece detalhamento solicitado. Cliente ameaça escalar a órgãos reguladores (Banco Central e Procon).,Crítico,True,False,
REC-2026-00556,Ouvidoria,Fraude/Segurança,Conta Corrente,Crítico,Crítica,"Cliente relata duas transferências não autorizadas via Pix (R$ 1.200 e R$ 800) realizadas madrugada em sua conta corrente, suspeita de acesso não autorizado. Afirma não ter recebido notificações e reclama de atendimento inadequado com redirecionamentos entre canais. Ameaça registro de boletim de ocorrência e ação judicial caso não haja restituição em cinco dias.",Crítico,True,False,
REC-2026-00623,Redes Sociais,Cancelamento,Conta Corrente,Crítico,Crítica,"Cliente relata encerramento unilateral de conta corrente sem aviso ou justificativa, com impacto em depósito de salário e débitos automáticos. Já acionou Banco Central e ameaça escalação para Procon e Defensoria Pública.",Crítico,True,False,
REC-2026-00575,Banco Central,Cancelamento,Empréstimo,Crítico,Crítica,"Cliente solicitou cancelamento de empréstimo consignado dentro do prazo de arrependimento de 7 dias conforme CDC, mas o banco continua processando descontos em folha. Após três protocolos sem resolução, cliente ameaça formalizar reclamação ao Banco Central, Procon e buscar ação judicial. Mentira de violação regulatória e risco de dano financeiro iminente.",Crítico,True,False,
REC-2026-00362,Redes Sociais,Atendimento,Não Identificado,Crítico,Alta,"Cliente relata dificuldade crônica de atendimento em múltiplos canais (telefone, chat, agência) com transferências sucessivas e repetição de informações. Apresenta elevado grau de frustração e indisponibilidade para resolver pendência, demonstrando desgaste emocional e vulnerabilidade financeira.",Alto,True,False,
REC-2026-00317,SAC,Fraude/Segurança,Conta Corrente,Crítico,Crítica,"Cliente relata duas transações não autorizadas totalizando R$ 290,50 em débito na conta corrente, realizadas em estado diferente de sua residência. Suspeita de comprometimento de dados e fraude. Requer investigação imediata de segurança e rastreamento de vazamento de informações.",Crítico,True,False,
REC-2026-00496,Redes Sociais,Fraude/Segurança,Conta Corrente,Crítico,Crítica,"Cliente identifica transações não reconhecidas totalizando R$ 4.215,00 em conta corrente. Solicitou bloqueio imediato, porém foi informado de prazo de até 30 dias para análise. Solicita investigação prioritária e estorno provisório conforme regulamentação.",Crítico,True,False,
REC-2026-00628,SAC,Atendimento,Cartão de Crédito,Crítico,Alta,"Cliente relata bloqueio não autorizado do cartão de crédito premium no exterior, alegando aviso prévio de viagem via app não registrado no sistema. Tempo de espera excessivo no atendimento internacional (47 minutos) agravou a insatisfação. Necessária verificação urgente do histórico de avisos e revisão do procedimento de bloqueio de segurança.",Alto,True,False,
REC-2026-00591,SAC,Cancelamento,Seguros,Crítico,Alta,"Cliente solicita cancelamento de seguro residencial há 2 semanas sem resolução. Relata orientações conflitantes entre canais (chat, telefone, agência) e prazo de 30 dias úteis considerado abusivo. Ameaça escalação ao Procon e aguarda resolução urgente.",Crítico,True,False,
REC-2026-00454,Ouvidoria,Fraude/Segurança,Seguros,Crítico,Crítica,Cliente relata alteração não autorizada em plano de seguro residencial com redução de cobertura e endosso não reconhecido. Suspeita de acesso indevido à conta. Cliente menciona possível registro no Banco Central.,Crítico,True,False,
REC-2026-00608,SAC,Cancelamento,Empréstimo,Crítico,Crítica,"Cliente solicita cancelamento de empréstimo pessoal após perda de emprego, com apenas 2 parcelas pagas. Contesta cobrança de multa de R$ 800 para quitação antecipada, alegando direito contratual de cancelamento sem c***o nos primeiros 90 dias. Próxima parcela vence em uma semana e cliente apresenta vulnerabilidade financeira.",Crítico,True,False,
REC-2026-00176,Banco Central,Cobrança Indevida,Seguros,Negativo,Crítica,"Cliente solicita reembolso de seguro residencial cancelado há mais de 60 dias, com prazo original de 30 dias úteis não c******o. Relata recebimento de prazos inconsistentes em múltiplos contatos, demonstrando falha operacional grave e violação de compromisso comercial.",Crítico,True,False,
REC-2026-00466,Banco Central,Cobrança Indevida,Conta Corrente,Crítico,Crítica,Cliente relata débito automático recorrente não cancelado apesar de 5 solicitações em 40+ dias. Mencionadas ameaças de escalação ao Procon e Reclame Aqui. Situação apresenta vulnerabilidade financeira extrema e insatisfação crítica com o atendimento.,Crítico,True,False,
REC-2026-00354,Banco Central,Cobrança Indevida,Cartão de Crédito,Crítico,Crítica,"Cliente relata cobranças indevidas recorrentes (taxa de anuidade e seguro não contratado) por três meses consecutivos, totalizando mais de R$ 200. Apresenta vulnerabilidade emocional extrema, dificuldades no atendimento e risco à reputação creditícia. Reclamação encaminhada ao Banco Central.",Crítico,True,False,
REC-2026-00267,Banco Central,Fraude/Segurança,Empréstimo,Crítico,Crítica,"Cliente relata dois empréstimos não autorizados totalizando R$ 18.500 com descontos em folha de pagamento. Apresenta evidências de violação de segurança, registrou boletim de ocorrência e reclamação no Banco Central, ameaçando escalação para Procon e via judicial. Situação de vulnerabilidade financeira extrema.",Crítico,True,False,
REC-2026-00589,Redes Sociais,Cobrança Indevida,Empréstimo,Crítico,Crítica,"Cliente relata diferença significativa entre parcela contratada (R$ 890,00) e valor cobrado (R$ 1.340,00) sem justificativa. Ameaça escalação para Banco Central e Procon. Menciona atendimento insatisfatório e vulnerabilidade financeira.",Crítico,True,False,
REC-2026-00483,Banco Central,Fraude/Segurança,Empréstimo,Crítico,Crítica,"Cliente relata contratação não autorizada de empréstimo de R$ 15 mil com saque imediato, alteração de dados cadastrais (email) e possível comprometimento de segurança da conta. Múltiplas tentativas de resolução sem sucesso. Ameaça de escalação para Procon e órgãos reguladores.",Crítico,True,False,
REC-2026-00548,Ouvidoria,Cobrança Indevida,Conta Corrente,Negativo,Média,"Cliente relata cobrança indevida de tarifa de manutenção de R$ 32,50 mensais durante 3 meses em conta com pacote básico gratuito, totalizando aproximadamente R$ 97,50. Atendimento anterior via chat não teve seguimento, solicitando restituição dos valores debitados.",Médio,False,False,
REC-2026-00327,Ouvidoria,Cancelamento,Empréstimo,Negativo,Média,Cliente solicita cancelamento e quitação antecipada de contrato de empréstimo pessoal. Relata indisponibilidade da função no aplicativo e dificuldade operacional para deslocar-se até agência para realizar o procedimento. Solicita informações sobre condições de quitação antecipada e possibilidade de realização remota.,Baixo,False,False,
REC-2026-00296,Banco Central,Fraude/Segurança,Investimentos,Crítico,Crítica,"Suspeita de fraude com acesso não autorizado à conta de investimentos resultando em resgate indevido de R$ 23.400,00. Cliente em situação de vulnerabilidade financeira extrema, com menção explícita ao Banco Central e sinais de escalação regulatória iminente. Requer acionamento imediato da equipe de Prevenção a Fraudes e protocolo de atendimento sensível.",Crítico,True,False,
REC-2026-00383,Ouvidoria,Produto/Serviço,Conta Corrente,Crítico,Crítica,"Cliente relata bloqueio de conta corrente por mais de três semanas sem resolução após múltiplas tentativas de contato com agência e SAC. Situação gera impacto financeiro crítico: impossibilidade de receber salário, vencimento de boletos, risco de inscrição em serviços de proteção ao crédito e vulnerabilidade socioeconômica.",Crítico,True,False,
REC-2026-00527,SAC,Atendimento,Conta Corrente,Negativo,Média,"Cliente relata demora recorrente no atendimento presencial da agência central, com espera de aproximadamente duas horas na última visita. Solicitação não foi resolvida pelo atendente na primeira interação, sendo necessário encaminhamento para outro departamento. Cliente solicita revisão dos processos de atendimento.",Baixo,False,False,
REC-2026-00351,SAC,Cancelamento,Não Identificado,Crítico,Crítica,Cliente solicita cancelamento imediato de todos os produtos e serviços. Formalização anterior sem retorno há mais de 20 dias úteis. Cliente menciona prazo regulatório (30 dias conforme Resolução BC nº 4.893) e ameaça escalar para Banco Central e órgãos de defesa do consumidor.,Crítico,True,False,
REC-2026-00366,Ouvidoria,Cobrança Indevida,Cartão de Crédito,Crítico,Alta,"Cliente relata cobrança de anuidade de cartão de crédito não autorizada, conflitando com informação prévia de isenção fornecida por gerente. Solicita reembolso de aproximadamente R$ 500 e cancelamento do produto. Insatisfeito com qualidade do atendimento telefônico e ameaça escalação em plataforma pública.",Alto,False,False,
REC-2026-00283,SAC,Fraude/Segurança,Não Identificado,Crítico,Crítica,"Cliente com vulnerabilidade emocional extrema faz ameaças explícitas de invasão física à agência, mencionando planejamento prévio em redes sociais. Situação requer acionamento imediato de segurança, compliance e autoridades competentes.",Crítico,True,False,
REC-2026-00531,SAC,Cobrança Indevida,Cartão de Crédito,Negativo,Média,"Cliente contesta cobrança de tarifa de manutenção (R$ 15,90/mês) não prevista no contrato original, solicitando estorno retroativo de dois meses (R$ 31,80) e cessação da cobrança em faturas futuras. Questão contratual com impacto financeiro moderado.",Médio,False,False,
REC-2026-00361,SAC,Cancelamento,Empréstimo,Crítico,Crítica,"Cliente solicita cancelamento de empréstimo contratado há menos de uma semana, alegando mudança na situação financeira e risco de inadimplência. Relata tentativas frustradas via app e atendimento telefônico, com vulnerabilidade financeira evidente e pedido urgente de resolução.",Crítico,True,False,
REC-2026-00491,Ouvidoria,Cobrança Indevida,Conta Corrente,Crítico,Crítica,"Cliente relata cobrança indevida de tarifa mensal em conta corrente com pacote isento, acumulando R$ 200+ em débitos não autorizados. Após 3 reclamações sem resolução, cliente ameaça escalar para Procon, Banco Central e redes sociais, demonstrando frustração extrema e intenção de divulgação pública.",Crítico,True,False,
REC-2026-00200,Redes Sociais,Cobrança Indevida,Cartão de Crédito,Crítico,Alta,"Cliente relata recebimento não solicitado de cartão de crédito platinum com anuidade de R$ 450,00 cobrada indevidamente na primeira fatura. Solicita cancelamento imediato do cartão e estorno da cobrança. Manifestação com tom de frustração e desacordo com a cobrança indevida.",Alto,True,False,
REC-2026-00394,SAC,Fraude/Segurança,Conta Corrente,Crítico,Crítica,"Cliente relata três transações PIX não autorizadas totalizando R$ 4.780,00 em sua conta corrente, suspeita de acesso fraudulento durante a madrugada. Registrou boletim de ocorrência e ameaça escalação para Banco Central e Procon se não houver reembolso em 48 horas.",Crítico,True,False,
REC-2026-00493,Ouvidoria,Cobrança Indevida,Investimentos,Crítico,Crítica,"Cliente relata descontos mensais não autorizados de R$ 312,00 em fundo de investimento há 4 meses (total R$ 1.248,00). Múltiplas tentativas de resolução sem sucesso (visitas à agência, ligações, e-mails). Cliente em situação de vulnerabilidade financeira (aposentada) e ameaça escalação para Procon e Banco Central.",Crítico,True,False,
REC-2026-00502,Ouvidoria,Produto/Serviço,Investimentos,Crítico,Crítica,"Cliente relata alteração não comunicada nas taxas de CDB, ocasionando rendimentos inferiores aos contratados. Ameaça acionamento do Banco Central e caracteriza prática como abusiva, pleiteando recomposição dos valores em cinco dias úteis.",Crítico,True,False,
REC-2026-00337,Redes Sociais,Cobrança Indevida,Conta Corrente,Crítico,Crítica,"Cliente relata cobrança indevida de serviço de assessoria financeira (R$ 149,90/mês) há 3 meses sem autorização. Esgotou canais internos (telefone, agência, email) sem resolução. Ameaça escalar para Procon, Banco Central e imprensa, configurando risco regulatório e reputacional iminente.",Crítico,True,False,
REC-2026-00340,Redes Sociais,Cobrança Indevida,Empréstimo,Negativo,Alta,"Cliente relata aumento não autorizado das parcelas de empréstimo pessoal a partir da quinta cobrança (março de 2026), de R$ 487,50 para R$ 523,10, sem comunicação prévia. Solicita correção dos valores e estorno das diferenças pagas, alegando violação do contrato original.",Alto,True,False,
REC-2026-00508,Redes Sociais,Cobrança Indevida,Não Identificado,Crítico,Alta,"Cliente relata cobrança mensal de R$ 29,90 referente a pacote de serviços premium não contratado, com migração automática de plano sem autorização. Solicita estorno de três meses de cobranças e retorno ao plano básico, ameaçando escalação legal.",Crítico,True,False,
REC-2026-00630,SAC,Fraude/Segurança,Conta Corrente,Crítico,Crítica,"Cliente relata PIX não autorizado de R$ 1.200,00 realizado madrugada em conta corrente com múltiplas camadas de segurança (reconhecimento facial, biometria, senha, token). Cliente nega autoria da transação e expressa preocupação crítica com vulnerabilidade de segurança e demora na análise.",Crítico,True,False,
REC-2026-00330,Banco Central,Produto/Serviço,Conta Corrente,Crítico,Crítica,"Cliente relata falhas críticas no aplicativo e funcionamento da conta corrente há semanas, impossibilitando transferências e pagamentos, gerando atrasos financeiros. Já fez reclamação no Banco Central e ameaça ação judicial caso não haja resolução em cinco dias.",Crítico,True,False,
REC-2026-00198,Ouvidoria,Atendimento,Investimentos,Negativo,Média,"Cliente relata dificuldade no atendimento sobre dúvida em fundo de renda fixa: transferências entre setores sem resolução, divergência entre informações no extrato e aplicativo, e ausência de retorno após queda de ligação. Requer investigação operacional e resposta técnica.",Médio,False,False,
